"Time","NO","NO2","NOX"
2021-08-15 01:00:00,4.43,21.3,25.8
2021-08-15 01:05:00,3.14,20.8,24.0
2021-08-15 01:10:00,2.85,20.6,23.4
2021-08-15 01:15:00,3.60,20.8,24.4
2021-08-15 01:20:00,4.04,21.2,25.2
2021-08-15 01:25:00,4.53,22.0,26.5
2021-08-15 01:30:00,4.64,22.2,26.9
2021-08-15 01:35:00,5.44,22.7,28.1
2021-08-15 01:40:00,6.08,22.3,28.3
2021-08-15 01:45:00,5.75,21.9,27.6
2021-08-15 01:50:00,5.13,21.2,26.3
2021-08-15 01:55:00,6.49,21.7,28.2
2021-08-15 02:00:00,8.16,21.5,29.6
2021-08-15 02:05:00,5.87,19.5,25.4
2021-08-15 02:10:00,4.00,19.0,23.0
2021-08-15 02:15:00,6.14,19.3,25.5
2021-08-15 02:20:00,4.86,18.4,23.3
2021-08-15 02:25:00,3.69,18.0,21.7
2021-08-15 02:30:00,3.30,17.4,20.8
2021-08-15 02:35:00,2.84,16.5,19.4
2021-08-15 02:40:00,2.31,15.8,18.0
2021-08-15 02:45:00,2.58,16.0,18.6
2021-08-15 02:50:00,3.15,16.1,19.3
2021-08-15 02:55:00,5.13,16.1,21.2
2021-08-15 03:00:00,5.86,16.2,22.1
2021-08-15 03:05:00,4.33,16.1,20.4
2021-08-15 03:10:00,3.67,15.6,19.3
2021-08-15 03:15:00,4.28,16.0,20.3
2021-08-15 03:20:00,4.92,16.4,21.3
2021-08-15 03:25:00,5.19,15.7,20.9
2021-08-15 03:30:00,4.82,15.5,20.3
2021-08-15 03:35:00,5.20,14.7,19.9
2021-08-15 03:40:00,4.71,14.4,19.1
2021-08-15 03:45:00,4.59,14.4,19.0
2021-08-15 03:50:00,3.99,14.3,18.3
2021-08-15 03:55:00,5.50,14.2,19.7
2021-08-15 04:00:00,5.19,13.5,18.7
2021-08-15 04:05:00,5.54,13.1,18.6
2021-08-15 04:10:00,4.57,12.9,17.5
2021-08-15 04:15:00,2.40,12.4,14.8
2021-08-15 04:20:00,2.48,12.4,14.9
